Function Stack;CPU Time:Total;CPU Time:Self;Memory Bound:Total(%);Memory Bound:L1 Bound:Total(%);Memory Bound:L2 Bound:Total(%);Memory Bound:L3 Bound:Total(%);Memory Bound:DRAM Bound:Total(%);Memory Bound:DRAM Bound:Memory Bandwidth:Total(%);Memory Bound:DRAM Bound:Memory Latency:Total(%);Memory Bound:Self(%);Memory Bound:L1 Bound:Self(%);Memory Bound:L2 Bound:Self(%);Memory Bound:L3 Bound:Self(%);Memory Bound:DRAM Bound:Self(%);Memory Bound:DRAM Bound:Memory Bandwidth:Self(%);Memory Bound:DRAM Bound:Memory Latency:Self(%);Loads:Total;Loads:Self;Stores:Total;Stores:Self;LLC Miss Count:Total;LLC Miss Count:Self;Average Latency (cycles):Total;Average Latency (cycles):Self;Module;Function (Full);Source File;Start Address
Total;100.000000;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.000000;0;100.000000;0;;0;;0.0;[Unknown];[Unknown];[Unknown];[Unknown]
 TComTrQuant::xRateDistOptQuant;11.789474;0.784000;;;;;;;;7.6;6.2;0.8;0.0;0.0;0.0;3.1;10.689680;1806054180;12.433905;931227936;;0;;7.848837;TAppEncoderStatic;TComTrQuant::xRateDistOptQuant(TComTU&, int*, int*, int*, int&, ComponentID, QpParam const&);[Unknown];0x103680
 TComRdCost::xCalcHADs8x8;11.563910;0.769000;;;;;;;;0.5;2.2;0.0;0.0;0.0;0.7;0.7;11.911357;2012460372;24.563371;1839655188;;0;;13.766497;TAppEncoderStatic;TComRdCost::xCalcHADs8x8(short const*, short const*, int, int, int);[Unknown];0xe7b80
 TComInterpolationFilter::filter<(int)8, (bool)1, (bool)0, (bool)1>;7.323308;0.487000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;1.2;11.449677;1934458032;5.191476;388811664;;0;;7.920635;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)8, (bool)1, (bool)0, (bool)1>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x111880
 TComInterpolationFilter::filter<(int)8, (bool)0, (bool)1, (bool)0>;5.233083;0.348000;;;;;;;;0.0;4.8;0.0;1.6;0.0;0.0;20.7;8.622772;1456843704;2.852107;213606408;;0;;9.263158;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)8, (bool)0, (bool)1, (bool)0>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x10cf90
 TComInterpolationFilter::filterCopy;3.218045;0.214000;;;;;;;;;5.3;0.0;2.7;0.0;8.0;5.3;1.690461;285608568;2.467553;184805544;;0;;9.947368;TAppEncoderStatic;TComInterpolationFilter::filterCopy(int, short const*, int, short*, int, int, int, bool, bool);[Unknown];0x10aba0
 TComRdCost::xGetSAD8;3.157895;0.210000;;;;;;;;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.517366;763222896;0.208300;15600468;;0;;7.127907;TAppEncoderStatic;TComRdCost::xGetSAD8(DistParam*);[Unknown];0xd0830
 TComRdCost::xGetSAD16;2.962406;0.197000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.503161;760822824;0.080115;6000180;;0;;7.097222;TAppEncoderStatic;TComRdCost::xGetSAD16(DistParam*);[Unknown];0xd09b0
 TComRdCost::xCalcHADs4x4;2.887218;0.192000;;;;;;;;2.8;11.3;0.0;0.0;0.0;0.0;0.0;2.720364;459613788;3.749399;280808424;;0;;22.484848;TAppEncoderStatic;TComRdCost::xCalcHADs4x4(short const*, short const*, int, int, int);[Unknown];0xe7780
 __memset_avx2_unaligned_erms;2.646617;0.176000;;;;;;;;39.4;2.9;0.0;0.0;0.0;2.9;0.0;1.321117;223206696;3.412915;255607668;;0;;9.400000;libc-2.27.so;__memset_avx2_unaligned_erms;memset-vec-unaligned-erms.S;0x18ef50
 TEncSearch::xEstimateInterResidualQT;2.631579;0.175000;;;;;;;;5.3;6.6;0.0;0.0;0.0;0.0;3.3;2.606719;440413212;3.973722;297608928;;0;;8.173077;TAppEncoderStatic;TEncSearch::xEstimateInterResidualQT(TComYuv*, double&, unsigned int&, unsigned int&, unsigned int*, TComTU&);[Unknown];0x90f30
 __memmove_avx_unaligned_erms;2.300752;0.153000;;;;;;;;0.0;0.0;0.0;4.2;4.2;16.9;0.0;2.301300;388811664;4.486461;336010080;;0;;13.027778;libc-2.27.so;__memmove_avx_unaligned_erms;memmove-vec-unaligned-erms.S;0x18ead0
 TComRdCost::xGetSAD32;1.909774;0.127000;;;;;;;;0.0;0.0;4.6;0.0;0.0;4.6;0.0;2.805597;474014220;0.0;0;;0;;7.107143;TAppEncoderStatic;TComRdCost::xGetSAD32(DistParam*);[Unknown];0xd0e00
 TEncSbac::codeCoeffNxN;1.759398;0.117000;;;;;;;;38.7;28.0;0.0;0.0;0.0;0.0;0.0;0.681867;115203456;1.217754;91202736;;0;;7.000000;TAppEncoderStatic;TEncSbac::codeCoeffNxN(TComTU&, int*, ComponentID);[Unknown];0x814e0
